Table 1:  Labour Force Survey Summary:  People by economic activity for those aged 16 and over and those aged from 16 to 64 (seasonally adjusted),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Sep-Nov 1995,45268378,28312374.857116744,25891047.023099776,2421327.834016967,16956003.142883256,62.54338261714777,57.19455427163699,8.552189091295284,37.45661738285223,36514280,27857517.70119305,25454447.727017805,2403069.974175249,8656762.298806947,76.2921183197178,69.71093973924121,8.626288960671946,23.7078816802822
Oct-Dec 1995,45282525,28335299.15388194,25982367.100211836,2352932.053670103,16947225.846118063,62.57446808428183,57.37835312896495,8.30388993210171,37.42553191571818,36525630,27882803.10768148,25549415.62818998,2333387.4794915,8642826.892318524,76.33763772912741,69.94928117102972,8.368554160355101,23.662362270872602
Nov-Jan 1996,45295044,28363066.953313977,25986543.987143554,2376522.96617042,16931977.046686023,62.61847753876556,57.37171595891054,8.378935078079573,37.38152246123444,36535464,27916068.683916073,25561776.966488443,2354291.7174276304,8619395.316083927,76.40814055055131,69.964287210061,8.433464411068964,23.591859449448695
Dec-Feb 1996,45308015,28337987.25498008,25981026.134781294,2356961.1201987835,16970027.74501992,62.54519703628614,57.343112768858425,8.317320136364216,37.45480296371386,36545571,27898626.44514487,25558337.557069704,2340288.888075167,8646944.55485513,76.33928183840627,69.9355266800174,8.388545194784818,23.660718161593728
Jan-Mar 1996,45321991,28300836.76878027,25970488.807203438,2330347.96157683,17021154.231219728,62.44393978362572,57.302179878204015,8.234201626672487,37.55606021637427,36556748,27868913.004272394,25554728.64521639,2314184.3590560034,8687834.995727602,76.234661256719,69.90427224329798,8.30381995415907,23.765338743281
Feb-Apr 1996,45334274,28326875.99502519,25977271.173707776,2349604.8213174185,17007398.004974812,62.48445931884823,57.30161505113719,8.294613291384689,37.515540681151776,36566318,27890888.545786314,25558149.03486196,2332739.5109243537,8675429.45421369,76.27480717579034,69.89533109366374,8.36380492896408,23.725192824209675
Mar-May 1996,45347922,28348965.107137553,26001741.73097655,2347223.3761610007,16998956.89286245,62.51436417998944,57.3383312491729,8.279749780248695,37.48563582001056,36577027,27914340.360810757,25581750.744151875,2332589.616658884,8662686.639189245,76.31659172521255,69.93939322666075,8.35624122407575,23.683408274787464
Apr-Jun 1996,45361476,28349552.808755703,26009334.063399702,2340218.745356001,17011923.191244293,62.49698049674509,57.33793596883775,8.25487005436371,37.503019503254905,36587448,27915212.81710977,25588510.366488725,2326702.450621043,8672235.182890227,76.29723947160724,69.93794802657109,8.334890605580346,23.702760528392762
May-Jul 1996,45374773,28320146.540149957,26005670.858886257,2314475.6812636997,17054626.45985004,62.41385833522507,57.313059965911584,8.172541331954013,37.58614166477492,36598048,27885112.521397244,25584371.855639003,2300740.6657582386,8712935.478602754,76.19289564677669,69.9063836837391,8.250784944808087,23.807104353223302
Jun-Aug 1996,45387921,28348073.682169784,26062886.39652835,2285187.2856414355,17039847.317830212,62.457308150707725,57.42251643675935,8.061173084500481,37.54269184929227,36608925,27902249.803575203,25634341.55511456,2267908.2484606453,8706675.19642479,76.21706948121313,70.02210951322542,8.128047968985106,23.782930518786852
Jul-Sep 1996,45401124,28346818.4720295,26061643.271216262,2285175.200813237,17054305.5279705,62.43638036809287,57.40307942864204,8.061487404902513,37.56361963190713,36619731,27905545.55435045,25639952.86169081,2265592.6926596365,8714185.445649553,76.20357876017836,70.01677008957496,8.118790181854848,23.79642123982165
Aug-Oct 1996,45415149,28407353.70154827,26119989.336988673,2287364.364559601,17007795.29845173,62.55039194421287,57.513825038840395,8.052014941592162,37.44960805578713,36631213,27963186.16457569,25692629.414429143,2270556.750146544,8668026.835424313,76.33704667267143,70.13862580643764,8.119807009055819,23.662953327328566
Sep-Nov 1996,45427994,28438811.45674336,26176607.763731267,2262203.6930120923,16989182.54325664,62.60195300885035,57.622196048831185,7.954635152221464,37.39804699114964,36641992,28000635.382250585,25757086.67514043,2243548.7071101516,8641356.617749419,76.4167935581957,70.29390398628009,8.012492132704683,23.583206441804307
Oct-Dec 1996,45441367,28427461.112253163,26198266.598647714,2229194.5136054475,17013905.887746833,62.55855179764544,57.65290159217198,7.841694004268963,37.44144820235455,36652974,27993093.75147963,25781127.396409564,2211966.355070063,8659880.248520367,76.37332171593943,70.33843255504878,7.901828839312,23.62667828406057
Nov-Jan 1997,45454142,28439369.283835255,26257957.812753573,2181411.4710816797,17014772.716164745,62.567167770618695,57.768019937002826,7.670393282320713,37.432832229381305,36663454,28001864.61936178,25836217.907842577,2165646.7115192055,8661589.38063822,76.37541356404058,70.46858680538548,7.733937510796254,23.62458643595941
Dec-Feb 1997,45467118,28455598.620281205,26324277.50377623,2131321.116504971,17011519.3797188,62.58500620224313,57.89739632007516,7.48998868358338,37.41499379775687,36673919,28014925.81310126,25902097.116863906,2112828.6962373536,8658993.186898738,76.38923403059613,70.62811344722637,7.541796506379764,23.610765969403865
Jan-Mar 1997,45480569,28465797.808055535,26381144.61852503,2084653.1895305077,17014771.191944458,62.58892189333765,58.0053090772128,7.323361191515847,37.41107810666234,36685178,28025112.53555038,25959521.755186882,2065590.780363498,8660065.464449618,76.39355746222732,70.76297068856223,7.370499503769191,23.60644253777266
Feb-Apr 1997,45492762,28479681.267101526,26427636.274167825,2052044.9929337038,17013080.732898474,62.60266472082202,58.09195817604529,7.20529479838012,37.39733527917798,36695042,28039733.06260712,26005346.476283513,2034386.586323608,8655308.937392883,76.41286542908745,70.86882875425925,7.255370733313435,23.587134570912557
Mar-May 1997,45506849,28497339.1164459,26449861.447065152,2047477.669380749,17009509.8835541,62.62208819697865,58.12281453955459,7.184802977619562,37.37791180302135,36706359,28051920.350305744,26019761.46605216,2032158.8842535857,8654438.649694253,76.42250856399498,70.88625016186477,7.244277250457247,23.577491436005005
Apr-Jun 1997,45520283,28564374.90754979,26513530.313722163,2050844.593827629,16955908.092450205,62.75087285276717,58.245530489610886,7.179728597125977,37.24912714723282,36717701,28115509.227373213,26077999.988099046,2037509.2392741689,8602191.772626782,76.57208502071852,71.02296515813734,7.246922767062861,23.427914979281468
May-Jul 1997,45532787,28576879.340463392,26493498.806161545,2083380.5343018482,16955907.659536608,62.76110298379801,58.18554178588178,7.290441022200378,37.23889701620199,36728007,28118141.178720467,26049708.050238747,2068433.1284817173,8609865.821279537,76.55776470179954,70.92600491564583,7.356222857459323,23.442235298200462
Jun-Aug 1997,45547280,28530816.47176943,26508630.541110307,2022185.9306591186,17016463.528230578,62.6400006142396,58.20024936968862,7.08772541669119,37.35999938576042,36739713,28069443.053613394,26061634.813722398,2007808.2398909926,8670269.94638661,76.40082287418358,70.9358693512995,7.1530034851636515,23.59917712581644
Jul-Sep 1997,45561382,28522734.965619188,26571765.27754807,1950969.6880711168,17038647.034380816,62.60287487684019,58.32080615453691,6.840051244814995,37.39712512315982,36750906,28060298.158124894,26121399.54054778,1938898.6175771134,8690607.841875106,76.3526704841641,71.0768859427514,6.909757717651703,23.6473295158359
Aug-Oct 1997,45575999,28512110.299995333,26603257.935036827,1908852.364958507,17063888.700004667,62.55948509213223,58.37120089246278,6.694882787959822,37.44051490786777,36762655,28051337.30839579,26154167.950437963,1897169.3579578302,8711317.691604208,76.3038940152603,71.14330548334435,6.763204681118734,23.6961059847397
Sep-Nov 1997,45590336,28509246.38009063,26622418.578724883,1886827.801365747,17081089.619909372,62.53352986933597,58.39487249825245,6.618301221330807,37.466470130664035,36774069,28048215.473771296,26172058.720181096,1876156.7535902,8725853.526228707,76.27172145070837,71.16987440302321,6.689041430620243,23.72827854929164
Oct-Dec 1997,45605270,28500146.227915082,26635966.36871153,1864179.8592035542,17105123.772084918,62.493098336913874,58.40545702001442,6.540948401793262,37.506901663086126,36786078,28045126.9022597,26191984.58450892,1853142.3177507855,8740951.097740298,76.23842613028684,71.20080750252559,6.607715929434682,23.76157386971315
Nov-Jan 1998,45620351,28453339.439137682,26632104.662694603,1821234.7764430775,17167011.560862318,62.36983893249239,58.377684693163815,6.4007768941805185,37.63016106750761,36798067,28000236.22834585,26191803.281071164,1808432.9472746863,8797830.771654151,76.09159532305283,71.17711721398618,6.458634607674958,23.908404676947164
Dec-Feb 1998,45633667,28473509.88124499,26657639.579789422,1815870.3014555674,17160157.118755013,62.39584007405101,58.41660627402444,6.377402396223901,37.604159925949,36808874,28028279.95058452,26225603.794191137,1802676.1563933827,8780594.049415482,76.14544240224387,71.24804685465558,6.43163319180344,23.854557597756134
Jan-Mar 1998,45648490,28489861.22459892,26676556.544062994,1813304.680535928,17158628.77540108,62.41139898515574,58.439077708951594,6.364736796156352,37.58860101484425,36820531,28044834.701045297,26244764.84719535,1800069.8538499456,8775696.298954703,76.16629619232079,71.27752950438261,6.418543282706005,23.833703807679207
Feb-Apr 1998,45661931,28505918.827278323,26706850.058219012,1799068.7690593111,17156012.172721677,62.42819390900994,58.48821868312799,6.311211296012386,37.57180609099006,36831107,28049420.559011973,26265452.218299255,1783968.3407127212,8781686.440988025,76.15687619438637,71.3132304665707,6.360089817040985,23.84312380561362
Mar-May 1998,45676887,28494810.167779908,26708179.165361077,1786631.0024188277,17182076.83222009,62.383432933553266,58.47197766643133,6.270022477423046,37.616567066446734,36843479,28039799.658495933,26266188.676966667,1773610.9815292605,8803679.341504067,76.10518989940101,71.29128244639075,6.325334000708041,23.89481010059899
Apr-Jun 1998,45690832,28505236.583427943,26714031.488961138,1791205.09446681,17185595.416572053,62.38721278576836,58.46694034584693,6.283775576548489,37.61278721423163,36854630,28044347.675133035,26269549.512578525,1774798.1625545092,8810282.324866967,76.0945033911154,71.27883121490713,6.3285414341379935,23.9054966088846
May-Jul 1998,45706433,28570674.693407454,26770472.220705442,1800202.4727020115,17135758.306592546,62.50908858586154,58.57046910815692,6.300874907645775,37.49091141413846,36867057,28113169.145091478,26329650.978833906,1783518.1662575705,8753887.854908524,76.25552846567459,71.41782697445555,6.344066572690083,23.744471534325413
Jun-Aug 1998,45724338,28631650.42788528,26824426.700127482,1807223.7277577957,17092687.57211472,62.617966011635374,58.66553322243284,6.311978879141675,37.38203398836462,36883773,28184944.056031764,26392286.150753878,1792657.9052778832,8698828.94396824,76.41556642275118,71.55527757627691,6.3603387032242225,23.584433577248838
Jul-Sep 1998,45743043,28619449.110408492,26833563.129395835,1785885.9810126582,17123593.889591508,62.56568700601858,58.66151740144579,6.240113057812691,37.434312993981415,36901140,28179720.462211706,26406970.821908034,1772749.6403036737,8721419.537788294,76.36544687294676,71.56139572356852,6.290870211721533,23.63455312705324
Aug-Oct 1998,45760457,28660220.165204532,26878358.195725407,1781861.9694791199,17100236.83479547,62.63097452283864,58.73708428157832,6.217195678218907,37.369025477161365,36917461,28219727.339931194,26449907.957607213,1769819.3823239775,8697733.660068806,76.44005458536597,71.6460646023496,6.271567974434911,23.55994541463403
Sep-Nov 1998,45778472,28706346.27552891,26938697.036630657,1767649.2388982568,17072125.724471085,62.70708702450556,58.845775884854035,6.157694963796601,37.29291297549443,36934196,28265087.91075711,26509837.50592801,1755250.4048291012,8669108.08924289,76.52823391839127,71.77586187588328,6.209959121199439,23.471766081608735
Oct-Dec 1998,45796067,28719337.01997897,26955075.7201851,1764261.2997938688,17076729.98002103,62.71136126161002,58.858931532668734,6.1431129087922125,37.28863873838998,36950775,28277946.9360845,26524133.394180503,1753813.5419039996,8672828.063915499,76.52869780426663,71.78234663327224,6.2020540100314685,23.471302195733372
Nov-Jan 1999,45814915,28790422.18366504,27000226.558118545,1790195.625546496,17024492.816334963,62.84071941127696,58.93326781926484,6.21802491858632,37.15928058872305,36968013,28344234.978745297,26564949.37245373,1779285.60629157,8623778.021254703,76.67232474394903,71.85928378799728,6.277416228117698,23.327675256050963
Dec-Feb 1999,45833107,28812263.379730493,27018057.796634655,1794205.5830958323,17020843.62026951,62.86343053227985,58.94878083790971,6.227228869350337,37.13656946772016,36985015,28362426.917322177,26578827.53179168,1783599.3855304949,8622588.082677824,76.68626582231258,71.86377383324484,6.288599317434194,23.313734177687433
Jan-Mar 1999,45851259,28815605.45713453,27035943.855992917,1779661.6011416127,17035653.54286547,62.84583255856623,58.96445254860486,6.176034037490549,37.15416744143376,37001895,28357262.660594158,26589183.04876994,1768079.611824221,8644632.339405838,76.63732536021239,71.85897654368767,6.235015110542321,23.362674639787606
Feb-Apr 1999,45869496,28815581.01984583,27042187.899635136,1773393.120210696,17053914.98015417,62.82079275483172,58.954621824567546,6.154285485305076,37.17920724516827,37018988,28353037.038665257,26589883.638626378,1763153.4000388829,8665950.961334743,76.5905244051114,71.82768918109372,6.218569804830632,23.409475594888608
Mar-May 1999,45887701,28818965.542819925,27058486.80534295,1760478.737476977,17068735.457180075,62.80324556425244,58.966751908845794,6.1087506241721785,37.19675443574755,37035844,28345141.884769663,26596236.828063436,1748905.0567062232,8690702.11523034,76.53434841330919,71.81215264883241,6.170034582349154,23.465651586690832
Apr-Jun 1999,45905285,28838627.813938983,27095401.196731646,1743226.6172073374,17066657.186061017,62.82202106781165,59.024578971095906,6.0447626997174915,37.17797893218835,37052328,28368483.999948665,26635915.444907553,1732568.5550411143,8683844.000051335,76.56329718323951,71.88729260117624,6.107370965061967,23.436702816760487
May-Jul 1999,45923612,28838378.927902907,27115325.19630043,1723053.7316024809,17085233.072097093,62.79640836592494,59.04440878104368,5.974863344122718,37.20359163407507,37069205,28374631.547055915,26662826.193675898,1711805.3533800142,8694573.452944087,76.5450231453734,71.92715946747684,6.032872534542663,23.4549768546266
Jun-Aug 1999,45945201,28875026.271087695,27170242.782936856,1704783.4881508364,17070174.728912305,62.84666437978515,59.13619309868044,5.904006708585477,37.15333562021484,37088528,28406142.9410043,26713360.64965816,1692782.2913461388,8682385.058995703,76.59010608618465,72.02593925986537,5.9592120438942295,23.409893913815353
Jul-Sep 1999,45965030,28920330.17092736,27217967.95843346,1702362.2124939007,17044699.82907264,62.9181144250909,59.214511463243824,5.886385813828738,37.081885574909094,37106092,28447882.868469954,26759968.356498994,1687914.5119709643,8658209.131530043,76.66634057951981,72.11745272581925,5.933357219498941,23.33365942048018
Aug-Oct 1999,45986274,28899142.52192068,27212088.493927605,1687054.0279930795,17087131.47807932,62.84297467092177,59.174371235050714,5.837730398794391,37.15702532907824,37124818,28433362.613430455,26757466.828878783,1675895.7845516733,8691455.386569547,76.58855758816233,72.07433805838129,5.894117439912177,23.411442411837672
Sep-Nov 1999,46007205,28963603.78970277,27270276.732089423,1693327.057613346,17043601.210297227,62.954495474573534,59.27392618632108,5.846396290696957,37.04550452542645,37142988,28496681.979442406,26815560.813919343,1681121.1655230627,8646306.020557592,76.72156580252081,72.19548630260803,5.899357569894729,23.27843419747919
Oct-Dec 1999,46028111,29006478.963506408,27322283.052887693,1684195.9106187136,17021632.036493592,63.01905147379697,59.35999209893209,5.806274910986721,36.98094852620302,37161679,28530477.676052164,26857944.14699175,1672533.529060414,8631201.323947836,76.77391991909775,72.27322572532783,5.862269633376313,23.226080080902253
Nov-Jan 2000,46048952,29008384.640325665,27306631.70675344,1701752.933572223,17040567.359674335,62.99466845700563,59.29913824478229,5.866417433001598,37.00533154299436,37180066,28535014.2098179,26845702.526518356,1689311.6832995396,8645051.790182102,76.74815372790866,72.20455855704601,5.92013612076039,23.25184627209135
Dec-Feb 2000,46069298,28993226.77925972,27308520.35205889,1684706.4272008291,17076071.22074028,62.93394524756969,59.27704900573673,5.810689648404304,37.06605475243031,37197977,28516712.918423645,26842644.81476763,1674068.1036560177,8681264.081576359,76.66199943729103,72.16157162193963,5.8704806141049355,23.338000562708984
Jan-Mar 2000,46090492,29044406.313861962,27361930.697636336,1682475.6162256286,17046085.68613804,63.01604746128977,59.36567285425449,5.792769864339204,36.98395253871024,37216863,28566900.904727615,26894682.655436683,1672218.2492909324,8649962.095272388,76.75794949382923,72.26477593083727,5.853691497260708,23.242050506170784
Feb-Apr 2000,46112028,29061201.09674856,27406219.105923615,1654981.9908249488,17050826.903251436,63.02303836376175,59.43399215910351,5.694816209816298,36.976961636238244,37235804,28583815.982266124,26937644.68152981,1646171.3007363165,8651988.017733876,76.76433140067587,72.34339476469961,5.75910263961127,23.23566859932412
Mar-May 2000,46131934,29081384.984718833,27441630.85634736,1639754.128371473,17050549.015281167,63.03959635578866,59.485108203673754,5.638500811543541,36.96040364421133,37253421,28614881.347623672,26984656.219910324,1630225.1277133483,8638539.652376328,76.8114191381878,72.43537773325656,5.6971234928735095,23.188580861812202
Apr-Jun 2000,46152393,29066922.85535249,27468086.488100156,1598836.3672523336,17085470.144647513,62.98031578850634,59.51606125407226,5.500535351501502,37.019684211493676,37271449,28600963.642136242,27012524.64254083,1588438.999595412,8670485.357863758,76.73692440059479,72.47511263256986,5.553795387702431,23.263075599405212
May-Jul 2000,46173611,29079696.45546794,27528229.1672912,1551467.2881767354,17093914.544532064,62.979038948173105,59.6189654027518,5.335225182121901,37.02096105182691,37290221,28610453.94461525,27070839.87383151,1539614.0707837339,8679767.055384755,76.72374466382286,72.59501056277331,5.381298995689313,23.276255336177158
Jun-Aug 2000,46199970,29094279.179168247,27565237.834072817,1529041.3450954307,17105690.820831753,62.974671150583525,59.66505570041023,5.255470794376089,37.02532884941647,37311260,28632296.440151103,27113878.280363187,1518418.1597879147,8678963.559848899,76.73902312639966,72.66942547735773,5.303165825213499,23.260976873600352
Jul-Sep 2000,46226431,29102959.326998554,27555105.45640117,1547853.870597386,17123471.673001446,62.95740055510354,59.60898313002181,5.318544596121041,37.04259944489646,37332866,28654016.066115946,27113697.907041304,1540318.1590746376,8678849.933884056,76.75278952897949,72.62688566969733,5.375575121897486,23.24721047102051
Aug-Oct 2000,46253752,29098779.051693432,27527876.815441824,1570902.2362516066,17154972.948306568,62.91117540409139,59.5149055485095,5.39851597711687,37.088824595908605,37354710,28647112.881366245,27084448.976948366,1562663.9044178755,8707597.118633755,76.68942653112886,72.50611496367758,5.454873972428556,23.31057346887114
Sep-Nov 2000,46280765,29055889.01722686,27516186.385874294,1539702.6313525666,17224875.982773148,62.78178205832782,59.4549082883014,5.299106939869218,37.2182179416722,37376675,28599746.40832647,27070738.539349478,1529007.8689769916,8776928.591673534,76.5176314060212,72.4268237860898,5.346228764223726,23.482368593978823
Oct-Dec 2000,46307056,29068074.318554297,27548559.164108567,1519515.1544457339,17238981.681445703,62.77245160770811,59.49106150066756,5.227436595192065,37.22754839229189,37397603,28621311.315582857,27113753.720162466,1507557.5954203913,8776291.684417143,76.53247539844426,72.5013143761178,5.267255503417841,23.467524601555727
Nov-Jan 2001,46333943,29141728.122350175,27637281.019279577,1504447.1030706037,17192214.877649825,62.89498850195023,59.648023090285186,5.162518491539875,37.10501149804977,37419158,28704422.22396394,27211192.998690598,1493229.2252733414,8714735.776036061,76.7104973980546,72.71995002851372,5.202087725795492,23.289502601945404
Dec-Feb 2001,46360557,29133799.45540392,27617592.145564884,1516207.3098390386,17226757.54459608,62.84178047171418,59.571312194469286,5.204289650445173,37.15821952828583,37440647,28700231.137660123,27194639.790850937,1505591.3468091881,8740415.862339878,76.65527558233735,72.6340006647079,5.245920632442461,23.34472441766265
Jan-Mar 2001,46386345,29104630.383936033,27623322.892660484,1481307.4912755482,17281714.61606397,62.7439613617672,59.55054853461829,5.089593895317561,37.25603863823281,37461108,28682451.989862747,27212286.502707906,1470165.4871548405,8778656.010137256,76.56594671429032,72.64143522585586,5.125661807694969,23.43405328570969
Feb-Apr 2001,46413795,29122485.199149735,27663341.704488993,1459143.4946607384,17291309.80085027,62.74532215939191,59.601551014065954,5.010367366255335,37.254677840608096,37483464,28699543.26131199,27250074.548696212,1449468.7126157773,8783920.73868801,76.5658778529967,72.69892278017905,5.050494007581344,23.434122147003304
Mar-May 2001,46440225,29129889.974772193,27699322.7299717,1430567.2448004954,17310335.025227807,62.72555736922505,59.645108803783145,4.91099432932782,37.27444263077495,37504449,28700399.855294332,27279441.06518148,1420958.7901128498,8804049.14470567,76.5253206500763,72.73654670991561,4.951006945120059,23.47467934992371
Apr-Jun 2001,46467158,29174260.608190466,27706573.326497246,1467687.2816932183,17292897.391809534,62.78468893705629,59.62614138462534,5.030760852534427,37.21531106294371,37526315,28731985.403000347,27273875.019535586,1458110.3834647588,8794329.596999653,76.56489959912224,72.67933187560672,5.074868175703914,23.435100400877765
May-Jul 2001,46493745,29171466.55264783,27699392.13890952,1472074.4137383094,17322278.447352175,62.74277658779225,59.57659925847987,5.046281821592862,37.25722341220776,37547521,28714965.231924195,27253085.6768175,1461879.555106692,8832555.768075807,76.47632777653736,72.58291613131397,5.091002351211035,23.523672223462654
Jun-Aug 2001,46514391,29201467.948201556,27718734.53399504,1482733.414206515,17312923.05179844,62.77942658262806,59.591739111439814,5.077598896180946,37.220573417371924,37562114,28742582.975772135,27268964.555069245,1473618.4207028858,8819531.024227865,76.52014201269964,72.59699109339066,5.1269519581626914,23.479857987300356
Jul-Sep 2001,46540603,29202759.871448472,27715409.386393026,1487350.4850554457,17337843.12855153,62.746844666899726,59.55103200186947,5.093184656528398,37.25315533310029,37582909,28737965.865140896,27258671.04792153,1479294.8172193666,8844943.134859107,76.46551751792524,72.5294336527317,5.14752792233548,23.534482482074782
Aug-Oct 2001,46567840,29222552.681230016,27735069.728108965,1487482.9531210472,17345287.318769984,62.75264792446894,59.558419991369504,5.0901882848738085,37.24735207553106,37604383,28756548.252902042,27276753.74282094,1479794.5100811017,8847834.747097956,76.47126733312454,72.53610235493278,5.145939272915915,23.52873266687544
Sep-Nov 2001,46594064,29282167.874862283,27786900.28935182,1495267.5855104662,17311896.125137713,62.84527547299219,59.63613796244908,5.106410126123555,37.1547245270078,37625487,28806852.45566296,27320487.189932764,1486365.2657301961,8818634.544337038,76.56207202225173,72.61165068755858,5.15976283079827,23.43792797774827
Oct-Dec 2001,46621365,29322581.100261755,27802935.350186475,1519645.7500752779,17298783.899738245,62.89515783216933,59.63560987582941,5.182510178347541,37.10484216783066,37647261,28835795.77870834,27325027.966927737,1510767.8117806003,8811465.221291661,76.59467119987384,72.58171575065644,5.239209707873278,23.405328800126153
Nov-Jan 2002,46648036,29287470.875886813,27769291.816570755,1518179.0593160584,17360565.124113187,62.7839313018169,59.52939115501188,5.183715131121197,37.21606869818311,37668492,28805534.11053288,27296970.284518644,1508563.826014235,8862957.889467122,76.47116351388019,72.46632088303042,5.237062504120073,23.52883648611981
Dec-Feb 2002,46674550,29288739.954213727,27781095.313447714,1507644.6407660113,17385810.045786276,62.75098518188976,59.52086375433232,5.147523051940337,37.24901481811025,37689440,28809021.792604327,27310876.44297914,1498145.3496251889,8880418.207395671,76.43791415474553,72.46294039651197,5.200264557437293,23.562085845254455
Jan-Mar 2002,46701062,29311820.648158275,27796731.51660583,1515089.1315524462,17389241.35184172,62.764783910392175,59.52055547817271,5.168867364940166,37.23521608960782,37710587,28827396.074675,27323941.474237833,1503454.600437165,8883190.925324997,76.44377446226176,72.45695081393943,5.215367342033215,23.55622553773824
Feb-Apr 2002,46727706,29378519.18428333,27856185.644931644,1522333.5393516866,17349186.81571667,62.87173435024466,59.61385231479509,5.181791259806218,37.12826564975535,37731855,28892367.275947563,27382481.288724437,1509885.98722313,8839487.724052431,76.57287794609505,72.57125653833992,5.225899189230112,23.427122053904935
Mar-May 2002,46755460,29430181.82356268,27887863.772480182,1542318.0510825037,17325278.17643731,62.94490915833719,59.64621837210068,5.240599804407861,37.05509084166279,37754082,28940129.651222378,27412221.75893711,1527907.892285266,8813952.348777622,76.65430628460885,72.60730577143184,5.279547502720776,23.345693715391153
Apr-Jun 2002,46781957,29452391.3182508,27932867.610923458,1519523.7073273403,17329565.681749195,62.95673205430632,59.70863427308836,5.1592541023510545,37.04326794569367,37775298,28963351.80008877,27456958.000205815,1506393.7998829505,8811946.199911227,76.67272882953503,72.68495406761798,5.201034087078049,23.32727117046496
May-Jul 2002,46807808,29434412.04782822,27907566.418469753,1526845.6293584658,17373395.952171788,62.883551495998745,59.621605050315004,5.1872808836048145,37.11644850400127,37795450,28944163.597725466,27430220.819128998,1513942.7785964697,8851286.402274538,76.58107946254236,72.57545767844806,5.230563230769746,23.41892053745765
Jun-Aug 2002,46834574,29487718.463093914,27948637.531059656,1539080.9320342555,17346855.536906086,62.96143200340397,59.67522525359077,5.219396454698693,37.038567996596036,37816427,29006544.541574433,27479492.13099406,1527052.410580377,8809882.458425565,76.70355674155688,72.66549039916981,5.264509905313564,23.296443258443123
Jul-Sep 2002,46860821,29500901.31667623,27934872.88593042,1566028.43074581,17359919.68332377,62.954298894328446,59.612427374950215,5.308408763296217,37.045701105671554,37836765,29012257.581742797,27458827.670619607,1553429.9111231873,8824507.418257207,76.67742625920265,72.57181651396361,5.3543916971864665,23.322573740797363
Aug-Oct 2002,46887861,29568452.387378544,28022803.155567907,1545649.231810633,17319408.612621456,63.06206288100569,59.76558230192652,5.227359252898883,36.937937118994306,37858080,29073506.42271276,27539259.10815813,1534247.3145546252,8784573.577287242,76.79604042971212,72.74341199595472,5.2771320123810135,23.20395957028788
Sep-Nov 2002,46913413,29590749.803123496,28059107.275257513,1531642.5278659796,17322663.196876504,63.0752441804298,59.810415574022535,5.176085560712304,36.9247558195702,37877969,29090981.56441129,27567562.787531126,1523418.7768801623,8786987.43558871,76.80185166319579,72.77993914491859,5.236738999360029,23.1981483368042
Oct-Dec 2002,46940332,29625502.879882798,28109759.102567658,1515743.777315139,17314829.1201172,63.11310895688338,59.884022768666526,5.1163478421303195,36.88689104311661,37899130,29125471.178365797,27617940.751199596,1507530.4271661993,8773658.821634201,76.84997301617688,72.87222886435545,5.1759864001306966,23.150026983823118
Nov-Jan 2003,46967166,29561049.790696777,28080608.135033727,1480441.6556630486,17406116.209303223,62.93982010900291,59.787742217688255,5.008082142363434,37.06017989099709,37920073,29061258.91881608,27588677.637604415,1472581.2812116602,8858814.081183918,76.63819349402644,72.75481151527428,5.067162731406033,23.361806505973544
Dec-Feb 2003,46993338,29574720.03039986,28058149.657106675,1516570.37329318,17418617.96960014,62.93385677433652,59.706653860397566,5.1279280809228185,37.06614322566348,37940431,29062870.85408873,27558394.876290515,1504475.977798215,8877560.145911267,76.60131972166772,72.63595628708201,5.176625479814073,23.398680278332282
Jan-Mar 2003,47019688,29630203.286334,28099358.66942042,1530844.6169135782,17389484.713666003,63.01658846892817,59.7608360766248,5.166500553911597,36.983411531071845,37960825,29109887.090700947,27590429.340080738,1519457.750620212,8850937.909299055,76.68402120001593,72.68132170489113,5.219730828518389,23.315978799984077
Feb-Apr 2003,47045757,29659110.172206882,28141658.330504317,1517451.8417025693,17386646.82779312,63.04311390335771,59.81763314065564,5.116309400018856,36.9568860966423,37981510,29129276.498722337,27625710.56342064,1503565.9353017034,8852233.501277665,76.69330813525407,72.7346294642331,5.16170024122519,23.306691864745936
Mar-May 2003,47072564,29684204.311765328,28198578.562195387,1485625.7495699404,17388359.688234672,63.060521436149784,59.904488232668584,5.004768643844406,36.939478563850216,38002333,29148756.662506793,27675280.241653755,1473476.4208530374,8853576.337493207,76.7025452424376,72.82521376162289,5.05502323105372,23.297454757562402
Apr-Jun 2003,47098620,29693111.669859007,28226348.935717538,1466762.7341414704,17405508.330140997,63.04454710108068,59.93030992355517,4.939740740039574,36.95545289891932,38022635,29165688.17316591,27711492.51551588,1454195.6576500323,8856946.82683409,76.70612037583905,72.88156782273475,4.985980954798711,23.29387962416095
